Unholy,2,2,./songs/Unholy.mp3,2,./images/songs/,English,1
As It Was,3,3,./songs/As_It_Was.mp3,3,./images/songs/,English,1
La Bachata,4,4,./songs/La_Bachata.mp3,4,./images/songs/,Spanish,1
I'm Good,5,5,./songs/I'm_Good.mp3,5,./images/songs/,English,1
Rich Flex,6,6,./songs/Rich_Flex.mp3,1,./images/songs/,English,1
All I Want for Christmas Is You,7,7,./songs/All_i_want_for_christmas_is_you.mp3,2,./images/songs/,Spanish,1
Under the Influence,8,8,./songs/Under_The_Influence.mp3,1,./images/songs/,English,1
Made You Look,9,9,./songs/Made_You_Look.mp3,6,./images/songs/,English,1
Me Porto Bonito,10,10,./songs/Me_Porto_Bonito.mp3,1,./images/songs/,Spanish,1
Another Love,11,11,./songs/Another_Love.mp3,7,./images/songs/,English,1
Last Christmas,12,12,./songs/Last_Christmas.mp3,1,./images/songs/,English,1
I Ain't Worried,13,13,./songs/I_Ain?t_Worried.mp3,8,./images/songs/,English,1
Rockin Around the Christmas Tree,14,14,./songs/Rockin_Around_The_Christmas_Tree.mp3,9,./images/songs/,English,1
Tit¡ me pregunt¢,15,15,./songs/Tit¡_Me_Pregunt¢.mp3,10,./images/songs/,Spanish,1
Miss You,16,16,./songs/Miss_You.mp3,9,./images/songs/,English,1
Hey Mor,17,17,./songs/Hey_Mor.mp3,2,./images/songs/,Spanish,1
Die For You,18,18,./songs/Die_For_You.mp3,8,./images/songs/,English,1
Bad Habbit,19,19,./songs/Bad_Habbit.mp3,8,./images/songs/,English,1
Dreamers,20,20,./songs/Dreamers.mp3,1,./images/songs/,English,1
Mockingbird,21,21,./songs/Mockingbird.mp3,11,./images/songs/,English,1
